"date";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";"???"
"02.05.2020 23:00";"7.6";"752.5";"755.7";"1.5";"95";"Wind blowing from the west-northwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1500-2000";"";"";"20.0";"6.9";"";"";"";"";"";"";
"02.05.2020 22:00";"8.3";"752.0";"755.1";"1.4";"92";"Wind blowing from the west-northwest";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"45.0";"7.0";"";"";"";"";"";"";
"02.05.2020 21:00";"7.8";"751.6";"754.7";"1.5";"91";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"35.0";"6.4";"";"";"";"";"";"";
"02.05.2020 20:00";"8.6";"751.0";"754.0";"1.4";"86";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"8.2";"11.9";"";"";"2000-2500";"";"";"50.0";"6.4";"0.4";"12";"";"";"";"";
"02.05.2020 19:00";"10.7";"750.6";"753.7";"1.2";"71";"Wind blowing from the west-northwest";"4";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"5.5";"";"";"";"";"";"";
"02.05.2020 18:00";"11.3";"750.1";"753.2";"0.8";"67";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"5.4";"";"";"";"";"";"";
"02.05.2020 17:00";"10.8";"749.6";"752.8";"0.7";"73";"Wind blowing from the west-northwest";"4";"";"";"60%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"35.0";"6.2";"";"";"";"";"";"";
"02.05.2020 16:00";"10.8";"749.4";"752.5";"0.9";"73";"Wind blowing from the west-northwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"40.0";"6.1";"";"";"";"";"";"";
"02.05.2020 15:00";"11.0";"749.3";"752.4";"1.3";"75";"Wind blowing from the west";"4";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"6.6";"";"";"";"";"";"";
"02.05.2020 14:00";"10.3";"748.9";"752.0";"1.2";"73";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";"No significant weather observed. ";"Showers or intermittent precipitation.";"Rain.";"";"";"";"";"600-1000";"";"";"40.0";"5.6";"0.4";"6";"";"";"";"";
"02.05.2020 13:00";"10.2";"748.5";"751.6";"1.1";"76";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1500-2000";"";"";"40.0";"6.2";"";"";"";"";"";"";
"02.05.2020 12:00";"9.7";"748.0";"751.2";"0.9";"80";"Wind blowing from the west-northwest";"5";"";"";"60%.";" ";"";"";"";"";"";"";"300-600";"";"";"50.0";"6.4";"";"";"";"";"";"";
"02.05.2020 11:00";"9.1";"747.7";"750.8";"0.8";"83";"Wind blowing from the west-northwest";"5";"";"";"90  or more, but not 100%";"Rain (not freezing). ";"Showers or intermittent precipitation.";"Rain.";"";"";"";"";"200-300";"";"";"35.0";"6.3";"";"";"";"";"";"";
"02.05.2020 10:00";"8.9";"747.4";"750.6";"0.6";"90";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"No significant weather observed.";"";"";"";"";"200-300";"";"";"15.0";"7.3";"";"";"";"";"";"";
"02.05.2020 09:00";"8.4";"747.1";"750.2";"0.4";"92";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"Rain.";"";"";"";"";"200-300";"";"";"25.0";"7.2";"";"";"";"";"";"";
