,resId,siteNo,hiveNo,frameNo,hour,paramText,anMethText,resVal,resUnit,resUnit_desc,resValUncert,resValUncertSD,resQualValue,date
151242,CW207717,3,1,,6,Colony weight,Automatic recording,24.7,G167A,Kilogram,,,,2019-05-29 06:00:00
151243,CW207716,3,1,,5,Colony weight,Automatic recording,24.7,G167A,Kilogram,,,,2019-05-29 05:00:00
151244,CW207715,3,1,,4,Colony weight,Automatic recording,24.7,G167A,Kilogram,,,,2019-05-29 04:00:00
151245,CW207714,3,1,,3,Colony weight,Automatic recording,24.7,G167A,Kilogram,,,,2019-05-29 03:00:00
151246,CW207713,3,1,,2,Colony weight,Automatic recording,24.7,G167A,Kilogram,,,,2019-05-29 02:00:00
151247,CW207712,3,1,,1,Colony weight,Automatic recording,24.7,G167A,Kilogram,,,,2019-05-29 01:00:00
151248,CW207711,3,1,,0,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-29 00:00:00
151249,CW207710,3,1,,23,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 23:00:00
151250,CW207709,3,1,,22,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 22:00:00
151251,CW207708,3,1,,21,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 21:00:00
151252,CW207707,3,1,,20,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 20:00:00
151253,CW207706,3,1,,19,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 19:00:00
151254,CW207705,3,1,,18,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 18:00:00
151255,CW207704,3,1,,17,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 17:00:00
151256,CW207703,3,1,,15,Colony weight,Automatic recording,24.6,G167A,Kilogram,,,,2019-05-28 15:00:00
151257,CW207702,3,1,,14,Colony weight,Automatic recording,24.6,G167A,Kilogram,,,,2019-05-28 14:00:00
151258,CW207701,3,1,,13,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 13:00:00
151259,CW207700,3,1,,12,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 12:00:00
151260,CW207699,3,1,,11,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 11:00:00
151261,CW207698,3,1,,10,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 10:00:00
151262,CW207697,3,1,,9,Colony weight,Automatic recording,24.8,G167A,Kilogram,,,,2019-05-28 09:00:00
151263,CW207696,3,1,,8,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 08:00:00
151264,CW207695,3,1,,7,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 07:00:00
151265,CW207694,3,1,,6,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 06:00:00
151266,CW207693,3,1,,5,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 05:00:00
151267,CW207692,3,1,,4,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-28 04:00:00
151268,CW207691,3,1,,3,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-28 03:00:00
151269,CW207690,3,1,,2,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-28 02:00:00
151270,CW207689,3,1,,1,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-28 01:00:00
151271,CW207688,3,1,,0,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-28 00:00:00
151272,CW207687,3,1,,23,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-27 23:00:00
151273,CW207686,3,1,,22,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 22:00:00
151274,CW207685,3,1,,21,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 21:00:00
151275,CW207684,3,1,,20,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 20:00:00
151276,CW207683,3,1,,19,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 19:00:00
151277,CW207682,3,1,,17,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 17:00:00
151278,CW207681,3,1,,16,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 16:00:00
151279,CW207680,3,1,,15,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-27 15:00:00
151280,CW207679,3,1,,14,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-27 14:00:00
151281,CW207678,3,1,,13,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-27 13:00:00
151282,CW207677,3,1,,12,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-27 12:00:00
151283,CW207676,3,1,,11,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 11:00:00
151286,CW207674,3,1,,9,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 09:00:00
151288,CW207673,3,1,,8,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-27 08:00:00
